id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;;
2;Convolutional;23296;199.898453333333;49.9746133333333;828.934280533333;777.935394133333
3;mpool;;;;;
4;Convolutional;307392;637.00992;159.25248;159.25248;159.25248
5;mpool;;;;;
6;Convolutional;663936;318.9768192;79.7442048;79.7442048;79.7442048
7;Convolutional;1327488;637.9536384;159.4884096;159.4884096;159.4884096
8;Convolutional;884992;425.3024256;106.3256064;106.3256064;106.3256064
9;mpool;;;;;
10;FC;37752832;107.3741824;26.8435456;11.9304647111111;26.8435456
11;FC;16781312;47.7218588444444;11.9304647111111;2.91562382222222;11.9304647111111
12;FC;4101097;11.6624952888889;2.91562382222222;;2.91562382222222
